/* DATA DESCRIPTION:
Citation:	Hernández-Almeida, Iván; Boltovskoy, Demetrio; Kruglikova, Svetlana B; Cortese, Giuseppe (2020): Relative abundance of radiolarian from different cores in the Pacific Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.923034, 
	In: Hernández-Almeida, I et al. (2020): Radiolarian census counts and radiolarian-based temperature reconstructions from sediment cores in the Pacific Ocean [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.923059
Abstract:	Radiolarian census counts (in relative abundance) and environmental data from 801 core-tops distributed across the Pacific Ocean (mmn8).
Keyword(s):	core-tops; Pacific Ocean; Radiolaria
Related to:	Hernández-Almeida, Iván; Boltovskoy, Demetrio; Kruglikova, Svetlana B; Cortese, Giuseppe (2020): A new radiolarian transfer function for the Pacific Ocean and application to fossil records: Assessing potential and limitations for the last glacial-interglacial cycle. Global and Planetary Change, 190, 103186, https://doi.org/10.1016/j.gloplacha.2020.103186
Further details:	Boltovskoy, Demetrio; Riedel, William R (1987): Polycystine radiolaria of the California Current region: Seasonal and geographic patterns. Marine Micropaleontology, 12, 65-104, https://doi.org/10.1016/0377-8398(87)90014-4
	Chang, Fengming; Zhuang, Lihua; Li, Tiegang; Yan, Jun; Cao, Qiyuan; Cang, Shuxi (2003): Radiolarian fauna in surface sediments of the northeastern East China Sea. Marine Micropaleontology, 48(3-4), 169-204, https://doi.org/10.1016/S0377-8398(03)00016-1
	CLIMAP Project Members (1976): The surface of the ice-age earth. Science, 191(4232), 1131-1144, https://doi.org/10.1126/science.191.4232.1131
	Cortese, Giuseppe; Prebble, Joseph G (2015): A radiolarian-based modern analogue dataset for palaeoenvironmental reconstructions in the southwest Pacific. Marine Micropaleontology, 118, 34-49, https://doi.org/10.1016/j.marmicro.2015.05.002
	Haslett, Simon K (2003): Upwelling-related radiolarian distribution patterns in Holocene surface sediments of the eastern equatorial Pacific. Revista Espanola de Micropaleontologia, 35(1)
	Hernández-Almeida, Iván; Cortese, Giuseppe; Yu, Pai-Sen; Chen, Min-Te; Kucera, Michal (2017): Environmental determinants of radiolarian assemblages in the western Pacific since the last deglaciation. Paleoceanography, 32(8), 830-847, https://doi.org/10.1002/2017PA003159
	Hollis, Christopher J; Neil, Helen L (2005): Sedimentary record of radiolarian biogeography, offshore eastern New Zealand. New Zealand Journal of Marine and Freshwater Research, 39(1), 165-192, https://doi.org/10.1080/00288330.2005.9517299
	Itaki, Takuya (2003): Depth-related radiolarian assemblage in the water-column and surface sediments of the Japan Sea. Marine Micropaleontology, 47(3-4), 253-270, https://doi.org/10.1016/S0377-8398(02)00119-6
	Itaki, Takuya; Ito, M; Narita, Hisashi; Ahagon, Naokazu; Sakai, Hideo (2003): Depth distribution of radiolarians from the Chukchi and Beaufort Seas, western Arctic. Deep Sea Research Part I: Oceanographic Research Papers, 50(12), 1507-1522, https://doi.org/10.1016/j.dsr.2003.09.003
	Itaki, Takuya; Khim, Boo-Keun; Ikehara, Ken (2008): Last glacial–Holocene water structure in the southwestern Okhotsk Sea inferred from radiolarian assemblages. Marine Micropaleontology, 67(3-4), 191-215, https://doi.org/10.1016/j.marmicro.2008.01.002
	Kamikuri, Shin-Ichi; Nishi, Hiroshi; Motoyama, Isao (2007): Effects of late Neogene climatic cooling on North Pacific radiolarian assemblages and oceanographic conditions. Palaeogeography, Palaeoclimatology, Palaeoecology, 249(3-4), 370-392, https://doi.org/10.1016/j.palaeo.2007.02.008
	Ling, Hsin Yi (1973): Radiolaria: Leg 19 of the Deep Sea Drilling Project. In: Creager, J.S.; Scholl, D.W.; et al., Initial Reports of the Deep Sea Drilling Project, 19, Initial Reports of the Deep Sea Drilling Project, 19, U.S. Government Printing Office, 19, 777-797, https://doi.org/10.2973/dsdp.proc.19.128.1973
	Ling, Liu; Zhang, Qiang; Chen, Muhong; Zhang, Lanlan; Xiang, Rong (2017): Radiolarian biogeography in surface sediments of the Northwest Pacific marginal seas. Science China Earth Sciences, 60(3), 517-530, https://doi.org/10.1007/s11430-016-5179-4
	Matsuzaki, Kenji M; Itaki, Takuya (2017): New northwest Pacific radiolarian data as a tool to estimate past sea surface and intermediate water temperatures. Paleoceanography, 32(3), 218-245, https://doi.org/10.1002/2017PA003087
	Molina-Cruz, Adolfo (1977): Radiolarian assemblages and their relationship to the oceanography of the subtropical southeastern Pacific. Marine Micropaleontology, 2, 315-352, https://doi.org/10.1016/0377-8398(77)90016-0
	Nigrini, Catherine A (1968): Radiolaria from Eastern Tropical Pacific Sediments. Micropaleontology, 14(1), 51, https://doi.org/10.2307/1484765
	Nimmergut, Anja-Pia (2002): Radiolarienfauna im Ochotskischen Meer - eine aktuopaläontologische Charakterisierung der Biozönose und Taphozönose (Radiolarians in the Sea of Okhotsk - actuopaleontological characterisation of the biocenosis and taphocenosis). Berichte zur Polar- und Meeresforschung = Reports on Polar and Marine Research, 406, 151 pp, https://doi.org/10.2312/BzPM_0406_2002
	Pisias, Nicklas G; Roelofs, Adrienne; Weber, Mysti (1997): Radiolarian-based transfer functions for estimating mean surface ocean temperatures and seasonal range. Paleoceanography, 12(3), 365-379, https://doi.org/10.1029/97PA00582
	Renz, G W (1976): The distribution and ecology of Radiolaria in the Central Pacific plankton and surface sediments. Bulletin of the Scripps Institution of Oceanography, University of California, San Diego, La Jolla California, 22, 1-267
	Robertson, J H (1975): Glacial to interglacial oceanographic changes in the northwest Pacific, including a continuous record of the last 400,000 years. New York, Columbia University, 326p
	Sachs, H (1973): North Pacific Radiolarian Assemblages and their Relationship to Oceanographic Parameters. Quaternary Research, 3(1), 73-88, https://doi.org/10.1016/0033-5894(73)90054-9
	Takahashi, K; Yamashita, H (2004): Temporal and vertical flux changes of radiolarians in the western and central equatorial Pacific during the 1999 La Niña conditions. The Journal of the Geological Society of Japan, 110, 463-479, https://doi.org/10.5575/geosoc.110.463
	Wang, Rujian; Xiao, Wenshen; Li, Qianyu; Chen, Ronghua (2006): Polycystine radiolarians in surface sediments from the Bering Sea Green Belt area and their ecological implication for paleoenvironmental reconstructions. Marine Micropaleontology, 59(3-4), 135-152, https://doi.org/10.1016/j.marmicro.2006.02.002
	Welling, Leigh (1990): Radiolarian microfauna in the Northern California current system: spatial and temporal variability and implications for paleoceanographic reconstructions. Oregon State University, Corvallis, Oregon, unpublished, 80p
Coverage:	MEDIAN LATITUDE: 13.925581 * MEDIAN LONGITUDE: 178.951635 * SOUTH-BOUND LATITUDE: -73.540000 * WEST-BOUND LONGITUDE: 109.700000 * NORTH-BOUND LATITUDE: 75.150000 * EAST-BOUND LONGITUDE: -69.820000
	MINIMUM DEPTH, water: 60 m * MAXIMUM DEPTH, water: 7350 m
Parameter(s):	Reference/source (Reference) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch)
	Code (Code) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * COMMENT: provcode
	Location (Location) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch)
	LONGITUDE (Longitude) * GEOCODE * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch)
	LATITUDE (Latitude) * GEOCODE * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch)
	Export productivity of carbon [g/m**2/a] (Pexp) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch)
	Temperature, water [°C] (Temp) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: SST 10 m
	Temperature, water [°C] (Temp) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: SST 500 m
	Salinity (Sal) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 10 m
	Nitrate [µg/kg] ([NO3]-) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 10 m
	Phosphorus, dissolved [µmol/kg] (TDP) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 10 m
	Silicate [µmol/kg] (Si(OH)4) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 10 m
	Temperature, water [°C] (Temp) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: SST 200 m
	Salinity (Sal) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 200 m
	Nitrate [µg/kg] ([NO3]-) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 200 m
	Phosphorus, dissolved [µmol/kg] (TDP) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 200 m
	Silicate [µmol/kg] (Si(OH)4) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * METHOD/DEVICE: extracted from the World Ocean Database (2013) (URI: https://doi.org/10.2481/dsj.WDS-041) * COMMENT: 200 m
	Chlorophyll a, confidence (Chl a conf) * PI: Hernández-Almeida, Iván (https://orcid.org/0000-0002-9329-8357, ivan.hernandez@erdw.ethz.ch) * COMMENT: MODIS
